Kol1,Kol2,Kol3,Kol4,Odlicz
-0.28470547648032346,-0.12160470953604799,-0.12650397817691841,-0.12696772574292448,1
-0.28045508044188888,-0.10677039727344294,-0.10404775027302028,-0.1136929516660011,1
-0.27820553075678695,-0.014149910612773525,-0.020833111422876943,-0.018402176601071001,1
-0.28383033994447332,-0.04665337913018193,-0.044166345812488156,-0.061220288562388321,1
-0.28983287900447108,-0.12966045354554029,-0.13848287699883294,-0.12752497080207692,1
-0.28445677314855405,-0.088957254879194148,-0.090314838479679624,-0.10105209059261018,1
-0.28059158678188262,-0.01435186519796971,-0.020092611277157595,-0.023836250902738752,1
-0.28869968938753687,-0.048590647188174976,-0.050296041463164992,-0.061414763348132798,1
-0.287198119647606,-0.13602202297922017,-0.13548721731842286,-0.144735989340463,1
-0.27774926299023256,-0.10963890036317396,-0.11274301713563385,-0.10940328668044506,1
-0.27714900908423279,-0.025683761367311268,-0.028159574985827475,-0.022897536071549068,1
-0.28303935115245493,-0.086311275823151526,-0.087343488147487588,-0.092957077635996394,1
-0.28220348356372627,-0.15941135586471922,-0.16604219807866066,-0.15411939775263395,1
-0.27468441516489417,-0.12769513623960335,-0.13667089558165604,-0.13890735561771753,1
-0.27032556203440983,-0.042214118155591687,-0.04087149415400964,-0.063542766292144462,1
-0.28334041308038627,-0.073116909590334025,-0.085170606406765659,-0.071246959727406384,1
-0.27704803179163473,-0.16987933519738818,-0.17678319009131707,-0.18836939944201678,1
-0.2693157891084289,-0.12641609053336084,-0.13219797550953311,-0.12906393953926637,1
-0.26727193390824894,-0.045688485000911265,-0.053467476430690289,-0.05123101639462882,1
-0.27288926329648361,-0.087033076470241597,-0.088027889797319112,-0.095073860880830488,1
-0.27901895894716044,-0.16581406419538347,-0.16370850064972695,-0.17932632190489867,1
-0.27013856704811706,-0.12839075758861243,-0.13422500116094668,-0.1259074641706445,1
-0.27730421492285579,-0.028645761950188666,-0.027841683509129776,-0.024371056563536057,1
-0.27917042488605759,-0.066381350184068641,-0.068666428916566227,-0.0788838349676029,1
-0.28187811228757681,-0.1521073317001238,-0.15119105626728926,-0.15800141366807174,1
-0.27965474190055584,-0.11329652229506043,-0.11841270512003049,-0.12101941522895163,1
-0.27889367230634432,-0.020451641650839705,-0.020077651678254173,-0.018357297804360736,1
-0.28645948945174959,-0.056522974506714063,-0.062428276173839586,-0.063980334560069532,1
-0.28479710402360692,-0.13554331581431067,-0.14159821347047041,-0.14095495071762329,1
-0.2796790512487739,-0.10867026633417744,-0.11470272459198202,-0.11682324773654199,1
-0.27520052132706219,-0.0033378605053258547,-0.0043364137321292191,-0.015073665845059784,1
-0.28094874720570179,-0.048919758364050242,-0.05208745343184968,-0.042775103114469984,1
-0.28413140187240465,-0.13187073428352078,-0.12934256206884259,-0.13769749805640333,1
-0.27268543876142448,-0.088355131023331451,-0.094174414996762296,-0.099440193810766547,1
-0.27116142962313849,-0.0011574989651522152,0.0056042397391941664,-0.021749386855711494,1
-0.27577646588484389,-0.029737812670138412,-0.033085022924778905,-0.026988986371634768,1
-0.2833235835316199,-0.13942907162947435,-0.13417825241437351,-0.14168423116416509,1
-0.26854162986517682,-0.09013158339311271,-0.089536939336701718,-0.1004985854331836,1
-0.27064719341083338,-0.0012135974610400445,-0.002193451189214133,-0.015107324942592482,1
-0.2833890317768224,-0.037213872222123155,-0.043956911427840258,-0.041103367937012664,1
-0.27985295658602621,-0.11356018522573323,-0.11064680333929196,-0.10883295197225214,1
-0.27701624264396496,-0.10542777327186088,-0.10597379863183576,-0.11666804189791899,1
-0.27412717010574172,-0.0024215850724913063,-0.01172645559041929,-0.016380760799246212,1
-0.28560118246466576,-0.029128209014823998,-0.032292164182897584,-0.029552687633708576,1
-0.28387147884145769,-0.11970484047531349,-0.12673585195992146,-0.10961646096481882,1
-0.27320341487345545,-0.092087550949735031,-0.095644195589023429,-0.10392994343165583,1
-0.2718252618244778,-0.0010640014720058326,-0.010159437605285921,-0.0051012232260666283,1
-0.279832387137534,-0.039648546943654953,-0.04129784272275714,-0.042844291259398308,1
-0.27900399934825704,-0.11687373638284103,-0.12434605603509992,-0.10556240966199168,1
-0.27187762042063979,-0.099888981777869187,-0.10573818494910688,-0.11268691863974602,1
-0.27275275695648993,-0.010413750786644081,-0.0095647935488749284,-0.014299506601807737,1
-0.28178461479443045,-0.044790909066705992,-0.047550955064387203,-0.058834232537292641,1
-0.28011100966711022,-0.12294733353763003,-0.12201983840561792,-0.12183658331905101,1
-0.28141249477170788,-0.11310578740904181,-0.11247748425509813,-0.12828043054669969,1
-0.2813769657243122,-0.034188293343906218,-0.038844468502596069,-0.029414311343851928,1
-0.2876936563612818,-0.048033402129022539,-0.047573394462742336,-0.057145667811068973,1
-0.29714064306879229,-0.13935053373523137,-0.14465745144622005,-0.15564340689091999,1
-0.28815927387715079,-0.11393978504790755,-0.11653527545765112,-0.10971556830755398,1
-0.28243535734672925,-0.032303383882075147,-0.035385061256179913,-0.037735588233879971,1
-0.27848789318608902,-0.041705491792875367,-0.046952571108250352,-0.063477318046941997,1
-0.27767446499571546,-0.12336994220665168,-0.12711732173195869,-0.13521233468857249,1
